Year,Rate
1970,5.1
1971,3.1
1972,6.4
1973,16.9
1974,28.6
1975,5.7
1977,8.3
1978,2.5
1979,6.3
1980,11.3
1981,13.1
1982,7.9
1983,11.9
1984,8.3
1985,5.6
1986,8.7
1987,8.8
1988,9.4
1989,7.1
1990,9
1991,13.9
1992,11.8
1993,6.3
1994,10.2
1995,10.2
1996,9
1997,7.2
1998,13.2
1999,4.7
2000,4
2001,3.8
2002,4.3
2003,3.8
2004,3.8
2005,4.2
2006,5.8
2007,6.4
2008,8.3
2009,10.9
2010,12
2011,8.9
2012,9.5
2013,10
2014,6.7
2015,4.9
2016,4.9
2017,3.3
2018,3.9
2019,3.7
2020,6.6
2021,5.52
